Nome,Fator
Abdelatif Kherradji,1.0
Adrián Cordero Vega,0.8
Afro Rocha de Carvalho Filho,1.2
Alberto Arena,0.8
Alejandro Hernández Hernández,1.0
Alejandro Muñiz Ruiz,1.2
Alejandro Quintero González,1.2
Alex Gomes Stefano,1.2
Anderson Daronco,1.0
Andrea Colombo,0.8
Andrew Kitchen,0.8
André Luiz Skettino Policarpo Bento,1.2
Andy Madley,0.8
Anthony Taylor,0.8
Antonio Rapuano,1.2
Bastian Dankert,0.8
Bastien Dechepy,1.2
Benjamin Brand,0.8
Benoît Bastien,1.0
Benoît Millot,0.8
Braulio da Silva Machado,1.2
Bruno Arleu de Araújo,1.2
Bruno Pereira Vasconcelos,1.0
Chris Kavanagh,0.8
Christian Dingert,0.8
Clément Turpin,0.8
Craig Pawson,0.8
César Soto Grado,1.0
Daniel Schlager,0.8
Daniel Siebert,0.8
Daniele Chiffi,0.8
Daniele Doveri,1.0
Daniele Perenzoni,0.8
Darren England,1.0
Davi de Oliveira Lacerda,1.0
Davide Di Marco,0.8
Davide Massa,1.0
Deniz Aytekin,1.0
Dr. Matthias Jöllenbeck,0.8
Dênis da Silva Ribeiro Serafim,1.2
Edina Alves Batista,1.2
Eric Wattellier,0.8
Ermanno Feliciani,0.8
Federico Dionisi,1.2
Federico La Penna,0.8
Felipe Fernandes de Lima,1.0
Felix Zwayer,1.2
Fernando Antonio Mendes de Salles,1.2
Florian Badstübner,0.8
Florian Exner,1.2
Flávio Rodrigues de Souza,1.2
Francesco Fourneau,1.0
Francisco Hernández Maeso,0.8
Frank Willenborg,0.8
François Letexier,1.2
Gaël Angoula,0.8
Gianluca Manganiello,0.8
Giovanni Ayroldi,1.0
Giuseppe Collu,1.0
Guillaume Paradis,1.0
Guillermo Cuadra Fernández,1.0
Gustavo Ervino Bauermann,0.8
Hakim Ben El Hadj,0.8
Harm Osmers,1.0
Iosu Galech Apezteguía,1.2
Isidro Díaz de Mera,1.2
Ivano Pezzuto,0.8
Jarred Gillett,1.0
Javier Alberola Rojas,1.2
Jefferson Ferreira de Moraes,1.2
Jesús Gil Manzano,1.0
John Brooks,1.0
Jonathan Benkenstein Pinheiro,1.0
José Luis Guzmán Mansilla,1.2
José Munuera Montero,1.2
José Sánchez Martínez,0.8
João Vitor Gobi,1.0
Juan Luca Sacchi,0.8
Juan Martínez Munuera,0.8
Jérémie Pignard,1.0
Jérémy Stinat,1.2
Jérôme Brisard,1.2
Kevin Bonacina,0.8
Livio Marinelli,0.8
Luca Pairetto,1.2
Luca Zufferli,0.8
Lucas Canetto Bellote,1.2
Lucas Casagrande,1.2
Lucas Paulo Torezin,1.2
Marc Bollengier,1.0
Marcelo de Lima Henrique,1.2
Marco Di Bello,1.2
Marco Guida,1.0
Marco Piccinini,1.2
Martin Petersen,1.2
Mateo Busquets Ferrer,1.2
Matheus Delgado Candançan,1.0
Mathieu Vernice,1.0
Matteo Marcenaro,1.2
Matteo Marchetti,0.8
Maurizio Mariani,0.8
Michael Fabbri,1.0
Michael Oliver,0.8
Michael Salisbury,0.8
Miguel Ortiz Arias,1.0
Miguel Sesma Espinosa,0.8
Paride Tremolada,1.2
Patrick Ittrich,1.0
Paulo Belence Alves dos Prazeres Filho,0.8
Paulo Cesar Zanovelli da Silva,1.0
Peter Bankes,1.0
Rafael Rodrigo Klein,1.0
Ramon Abatti,1.2
Raphael Claus,1.0
Ricardo De Burgos Bengochea,1.0
Robert Hartmann,1.0
Robert Jones,0.8
Robin Braun,1.0
Rodrigo José Pereira de Lima,1.2
Romain Lissorgue,1.2
Rosario Abisso,1.0
Ruddy Buquet,0.8
Sam Barrott,1.2
Sascha Stegemann,1.0
Simon Hooper,1.2
Simone Sozza,1.0
Stuart Attwell,1.0
Stéphanie Frappart,1.0
Sven Jablonski,0.8
Sávio Pereira Sampaio,1.0
Sören Storks,1.2
Thomas Bramall,0.8
Thomas Léonard,1.0
Tim Robinson,1.0
Timo Gerach,1.2
Tobias Reichel,1.0
Tobias Stieler,0.8
Tobias Welz,1.0
Tony Harrington,0.8
Valerio Crezzini,0.8
Víctor García Verdura,0.8
Wagner do Nascimento Magalhães,1.0
Willy Delajod,0.8
Wilton Pereira Sampaio,1.2
Yuri Elino Ferreira da Cruz,1.0
