Data,Hora,Liga,Time_Casa,Time_Visitante
15/12/2025,14:00,Trendyol Süper Lig,Fenerbahçe,Konyaspor
15/12/2025,16:45,Serie A,Roma,Como
15/12/2025,16:45,Scottish Premiership,Rangers,Hibernian
15/12/2025,17:00,Championship,Sheffield Wed,Derby
15/12/2025,17:00,Premier League,Man Utd,Bournemouth
15/12/2025,17:00,La Liga,Rayo Vallecano,Real Betis
17/12/2025,17:00,Scottish Premiership,Dundee Utd,Celtic
19/12/2025,14:00,Trendyol Süper Lig,Kocaelispor,Antalyaspor
19/12/2025,14:30,Bundesliga 2,Hertha,Bielefeld
19/12/2025,14:30,Bundesliga 2,Paderborn,Darmstadt
19/12/2025,16:30,Bundesliga,Dortmund,M'gladbach
19/12/2025,16:45,Pro League,Charleroi,Genk
19/12/2025,17:00,Championship,Swansea,Wrexham
19/12/2025,17:00,La Liga,Valencia,Mallorca
20/12/2025,08:30,Trendyol Süper Lig,Konyaspor,Kayserispor
20/12/2025,09:00,Bundesliga 2,Bochum,Karlsruhe
20/12/2025,09:00,Bundesliga 2,Fortuna,Fürth
20/12/2025,09:00,Bundesliga 2,Kaiserslautern,Magdeburg
20/12/2025,09:30,Championship,Southampton,Coventry
20/12/2025,09:30,Championship,Preston,Norwich
20/12/2025,09:30,Championship,Blackburn,Millwall
20/12/2025,09:30,Premier League,Newcastle,Chelsea
20/12/2025,10:00,La Liga,Real Oviedo,Celta
20/12/2025,11:00,Trendyol Süper Lig,Eyüpspor,Fenerbahçe
20/12/2025,11:30,Bundesliga,HSV,Frankfurt
20/12/2025,11:30,Bundesliga,Stuttgart,Hoffenheim
20/12/2025,11:30,Bundesliga,Wolfsburg,Freiburg
20/12/2025,11:30,Bundesliga,Köln,Union Berlin
20/12/2025,11:30,Bundesliga,Augsburg,Bremen
20/12/2025,12:00,Championship,QPR,Leicester
20/12/2025,12:00,Championship,Sheffield Utd,Birmingham
20/12/2025,12:00,Championship,Ipswich,Sheffield Wed
20/12/2025,12:00,Championship,Watford,Stoke
20/12/2025,12:00,Championship,Bristol City,Middlesbrough
20/12/2025,12:00,Championship,Hull,West Brom
20/12/2025,12:00,Championship,Derby,Portsmouth
20/12/2025,12:00,Championship,Charlton,Oxford Utd
20/12/2025,12:00,Premier League,Man City,West Ham
20/12/2025,12:00,Premier League,Brighton,Sunderland
20/12/2025,12:00,Premier League,Wolves,Brentford
20/12/2025,12:00,Premier League,Bournemouth,Burnley
20/12/2025,12:00,Pro League,Dender,Standard Liège
20/12/2025,12:00,Scottish Premiership,Dundee Utd,Hibernian
20/12/2025,12:00,Scottish Premiership,Motherwell,Dundee
20/12/2025,12:00,Scottish Premiership,St Mirren,Livingston
20/12/2025,12:00,Scottish Premiership,Kilmarnock,Falkirk
